"","rank15","name","citizenship","age15","networth15","source15","year","rank14","age14","networth14","source14","rank13","age13","networth13","source13","rank12","age12","networth12","source12","rank11","age11","networth11","source11","rank10","age10","networth10","residence10","rank09","age09","networth09","residence09","rank08","age08","networth08","residence08","rank07","age07","networth07","residence07","rank06","age06","networth06","residence06","rank05","age05","networth05","residence05","rank04","age04","networth04","residence04","rank03","age03","networth03","v6","rank02","networth02","rank01","networth01","rank00","networth00","rank99","networth99","rank98","networth98","source98","rank97","networth97","rank96","networth96","case"
"272",NA,"Skoll, Jeff","Canada",NA,NA,"",2001,NA,NA,NA,"",NA,NA,NA,"",NA,NA,NA,"",NA,NA,NA,"",NA,NA,NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,NA,NA,"",NA,NA,NA,"",NA,NA,NA,"",NA,NA,NA,NA,NA,NA,174,2.70000004768372,161,2.90000009536743,NA,NA,NA,NA,"",NA,NA,NA,NA,3761
"273",NA,"Weston, Galen","Canada",NA,NA,"",2002,NA,NA,NA,"",NA,NA,NA,"",NA,NA,NA,"",NA,NA,NA,"",NA,NA,NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,NA,NA,"",NA,NA,NA,"",NA,NA,NA,"",NA,NA,NA,NA,82,4.19999980926514,NA,NA,183,2.40000009536743,209,1.89999997615814,NA,NA,"",NA,NA,350,1.10000002384186,4277
"274",NA,"Rogers, Edward S","Canada",NA,NA,"",2002,NA,NA,NA,"",NA,NA,NA,"",NA,NA,NA,"",NA,NA,NA,"",NA,NA,NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,NA,NA,"",NA,NA,NA,"",NA,NA,NA,"",NA,NA,NA,NA,378,1.20000004768372,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,3456
"275",NA,"Bombardier family","Canada",NA,NA,"",2000,NA,NA,NA,"",NA,NA,NA,"",NA,NA,NA,"",NA,NA,NA,"",NA,NA,NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,NA,NA,"",NA,NA,NA,"",NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,121,3.79999995231628,NA,NA,NA,NA,"",NA,NA,NA,NA,502
"276",NA,"Marcel Adams","Canada",NA,NA,"",2014,1465,93,1.10000002384186,"real estate",1268,92,1.10000002384186,"real estate",NA,NA,NA,"",NA,NA,NA,"",NA,NA,NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,NA,NA,"",NA,NA,NA,"",NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,2588
"277",NA,"James, Arthur & John Irving","Canada",NA,NA,"",2010,NA,NA,NA,"",NA,NA,NA,"",NA,NA,NA,"",NA,NA,NA,"",212,NA,4,"Canada",146,"",3.90000009536743,"Canada",140,"",6.69999980926514,"Canada",129,"",5.80000019073486,"Canada",106,NA,5.5,"Canada",117,NA,4.40000009536743,"Canada , Saint John",124,NA,3.79999995231628,"Canada , Saint John",94,NA,3.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,1771
"278",NA,"Calvin Ayre","Canada",NA,NA,"",2006,NA,NA,NA,"",NA,NA,NA,"",NA,NA,NA,"",NA,NA,NA,"",NA,NA,NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",746,44,1,"Costa Rica",NA,NA,NA,"",NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,583
"279",NA,"Skoll, Jeffrey S","Canada",NA,NA,"",2002,NA,NA,NA,"",NA,NA,NA,"",NA,NA,NA,"",NA,NA,NA,"",NA,NA,NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,NA,NA,"",NA,NA,NA,"",NA,NA,NA,"",NA,NA,NA,NA,191,2.20000004768372,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,3762
"280",NA,"Irving, James, Arthur & John","Canada",NA,NA,"",2002,NA,NA,NA,"",NA,NA,NA,"",NA,NA,NA,"",NA,NA,NA,"",NA,NA,NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,NA,NA,"",NA,NA,NA,"",NA,NA,NA,"",NA,NA,NA,NA,84,4.09999990463257,90,4.40000009536743,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,1678
"281",NA,"Bronfman, Charles","Canada",NA,NA,"",2002,NA,NA,NA,"",NA,NA,NA,"",NA,NA,NA,"",NA,NA,NA,"",NA,NA,NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,NA,NA,"",NA,NA,NA,"",NA,NA,NA,"",NA,NA,NA,NA,157,2.5,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,117,2.59999990463257,542
