"","rank15","name","citizenship","age15","networth15","source15","year","rank14","age14","networth14","source14","rank13","age13","networth13","source13","rank12","age12","networth12","source12","rank11","age11","networth11","source11","rank10","age10","networth10","residence10","rank09","age09","networth09","residence09","rank08","age08","networth08","residence08","rank07","age07","networth07","residence07","rank06","age06","networth06","residence06","rank05","age05","networth05","residence05","rank04","age04","networth04","residence04","rank03","age03","networth03","v6","rank02","networth02","rank01","networth01","rank00","networth00","rank99","networth99","rank98","networth98","source98","rank97","networth97","rank96","networth96","case"
"28",497,"Viktor Rashnikov","Russia",66,3.5,"Steel",2015,609,65,2.79999995231628,"steel",308,64,4.19999980926514,"steel",183,63,5.59999990463257,"steel",70,62,11.1999998092651,"Steel",71,61,9.80000019073486,"Russia",261,"60",2.5,"Russia",73,"59",10.3999996185303,"Russia",104,"58",7,"Russia",185,57,3.59999990463257,"Russia",NA,NA,NA,"",NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,4130
"29",497,"Iskander Makhmudov","Russia",51,3.5,"Mining, Metals, Machinery",2015,227,50,6.09999990463257,"mining, metals, machinery",123,49,8.69999980926514,"mining, metals, machinery",110,48,8.19999980926514,"mining, metals, machinery",88,47,9.89999961853027,"mining, metals, machinery",80,46,8.5,"Russia",183,"45",3.29999995231628,"Russia",63,"44",11.8999996185303,"Russia",86,"43",8,"Russia",136,43,4.5,"Russia",413,42,1.60000002384186,"Russia",NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,1687
"30",497,"Andrei Guriev","Russia",54,3.5,"Fertilizers",2015,466,53,3.40000009536743,"fertilizers",329,52,4,"fertilizers",314,52,3.5,"fertilizers",512,50,2.29999995231628,"fertilizers",536,50,1.89999997615814,"Russia",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,NA,NA,"",NA,NA,NA,"",NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,241
"31",512,"Suleiman Kerimov","Russia",48,3.40000009536743,"Investments",2015,196,47,6.90000009536743,"investments",162,46,7.09999990463257,"investments",146,46,6.5,"investments",118,44,7.80000019073486,"Investments",136,44,5.5,"Russia",196,"43",3.09999990463257,"Russia",36,"42",17.5,"Russia",35,"41",14.3999996185303,"Russia",72,40,7.09999990463257,"Russia",NA,NA,NA,"",NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,3877
"32",557,"Yuri Milner","Russia",53,3.20000004768372,"Facebook",2015,988,52,1.79999995231628,"Facebook",1268,51,1.10000002384186,"social networking",1153,50,1,"social networking",1140,49,1,"social networking",NA,NA,NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,NA,NA,"",NA,NA,NA,"",NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,4442
"33",577,"Alexander Svetakov","Russia",47,3.09999990463257,"Banking, Real Estate",2015,520,46,3.09999990463257,"banking, real estate",503,45,2.79999995231628,"banking, real estate",764,44,1.70000004768372,"banking, real estate",NA,NA,NA,"",NA,NA,NA,"",NA,"",NA,"",785,"40",1.5,"Russia",NA,"",NA,"",NA,NA,NA,"",NA,NA,NA,"",NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,151
"34",603,"Igor Kesaev","Russia",48,3,"Tobacco Distribution, Retail",2015,408,47,3.70000004768372,"tobacco distribution, retail",736,46,2,"tobacco distribution, retail",719,45,1.79999995231628,"tobacco distribution, retail",692,44,1.79999995231628,"tobacco distribution, retail",828,43,1.20000004768372,"Russia",NA,"",NA,"",962,"41",1.20000004768372,"Russia",NA,"",NA,"",NA,NA,NA,"",NA,NA,NA,"",NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,1654
"35",663,"Vladimir Yevtushenkov","Russia",66,2.79999995231628,"Telecom",2015,141,65,9,"telecom",175,64,6.69999980926514,"telecom",166,63,6,"telecom",120,62,7.69999980926514,"telecom",93,61,7.5,"Russia",601,"60",1.20000004768372,"Russia",77,"59",10,"Russia",71,"58",9.10000038146973,"Russia",93,57,6.30000019073486,"Russia",258,56,2.40000009536743,"Russia , Moscow",377,55,1.5,"Russia , Moscow",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,4166
"36",737,"Alexander Mamut","Russia",55,2.5,"Investments",2015,764,54,2.29999995231628,"investments",641,53,2.29999995231628,"investments",601,52,2.09999990463257,"investments",512,51,2.29999995231628,"Investments",655,49,1.5,"Russia",NA,"",NA,"",962,"47",1.20000004768372,"Russia",NA,"",NA,"",NA,NA,NA,"",NA,NA,NA,"",NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,140
"37",737,"Alexander Nesis","Russia",52,2.5,"Metals, Banking, Fertilizers",2015,551,51,3,"metals, banking, fertilizers",412,50,3.29999995231628,"metals, banking, fertilizers",367,49,3.09999990463257,"metals, banking, fertilizers",459,48,2.5,"metals, banking, fertilizers",721,47,1.39999997615814,"n/a",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,NA,NA,"",NA,NA,NA,"",NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,142
